Product_ASIN,URL,Title,Selling Price,MRP,Discount,Rating,Rating_Count,Category,Subcategory,Platform
,https://www.flipkart.com/aetmp-i3-8th-generation-thermal-paste-fan-heatsink-3-6-ghz-lga-1151-4-core-processor-designed-desktop-workstation/p/itme706da814b3f3?pid=PSRHC9UXMHPETWST&lid=LSTPSRHC9UXMHPETWSTXULRBF&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_2_59&otracker=search&otracker1=search&fm=Search&iid=9df87f9b-01fe-4262-a2a5-eb6ac447a799.PSRHC9UXMHPETWST.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,"AETMP i3 8th Generation With Thermal Paste, Fan, Heatsink 3.6 GHz LGA 1151 4 Core Processor Designed for Desktop, Workstation  (Brown)",2199.0,19999.0,89.0,3.5,0.0,Home > Gaming > Gaming Accessories > Processor > AETMP Processor,Processors,Flipkart
,https://www.flipkart.com/processore-i5-4690s-3-2-ghz-lga-1150-4-core-processor-designed-desktop/p/itm0dd6135574023?pid=PSRHAMVKRQRKEJHD&lid=LSTPSRHAMVKRQRKEJHDOQLQJY&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_5_186&otracker=search&otracker1=search&fm=Search&iid=69c4ca6f-3ff3-490c-801d-9bc5de170508.PSRHAMVKRQRKEJHD.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,PROCESSORE i5 4690S 3.2 GHz LGA 1150 4 Core Processor Designed for Desktop  (Silver),2200.0,4999.0,55.0,3.8,0.0,Home > Gaming > Gaming Accessories > Processor > PROCESSORE Processor,Processors,Flipkart
,https://www.flipkart.com/intel-6100t-3-2-ghz-lga-1151-socket-2-cores-4-threads-desktop-processor/p/itmf0a301e8c72ed?pid=PSRGNY5WTDNCGTBH&lid=LSTPSRGNY5WTDNCGTBH8LUIRL&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_5_194&otracker=search&otracker1=search&fm=Search&iid=69c4ca6f-3ff3-490c-801d-9bc5de170508.PSRGNY5WTDNCGTBH.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,Intel 6100T 3.2 GHz LGA 1151 Socket 2 Cores 4 Threads Desktop Processor  (Silver),2200.0,5500.0,60.0,4.2,5.0,Home > Gaming > Gaming Accessories > Processor > Intel Processor,Processors,Flipkart
,https://www.flipkart.com/rishu-0719833853430-1-ghz-strx4-4-core-processor-designed-server/p/itm0703724b65a97?pid=PSRGDSGFPXYMYHVK&lid=LSTPSRGDSGFPXYMYHVKPHB4HP&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_8_316&otracker=search&otracker1=search&fm=Search&iid=2e3d3218-f5a8-4482-b2d9-5145d6715d89.PSRGDSGFPXYMYHVK.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,Rishu 0719833853430 1 GHz sTRX4 4 Core Processor Designed for Server  (Black),2200.0,2500.0,12.0,3.815081967213120,0.0,Home > Gaming > Gaming Accessories > Processor > Rishu Processor,Processors,Flipkart
,https://www.flipkart.com/intel-core-i5-3470s-3rd-gen-2-9-ghz-lga-1155-socket-4-cores-desktop-processor/p/itm9a31a6f2d41e0?pid=PSRGP6NZVMU6NPPZ&lid=LSTPSRGP6NZVMU6NPPZYBCGEF&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_9_342&otracker=search&otracker1=search&fm=Search&iid=5b555b1f-31af-4ba0-8b69-a63f504c027d.PSRGP6NZVMU6NPPZ.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,Intel Core i5-3470S (3RD Gen) 2.9 GHz LGA 1155 Socket 4 Cores Desktop Processor  (Silver),2250.0,3950.0,43.0,1.7,3.0,Home > Gaming > Gaming Accessories > Processor > Intel Processor,Processors,Flipkart
,https://www.flipkart.com/presolve-i3-8100-3-6-ghz-lga-1151-4-core-processor-designed-desktop/p/itmf18c108180b3c?pid=PSRH8YXSJDZ8V5SP&lid=LSTPSRH8YXSJDZ8V5SPODANNJ&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_4_128&otracker=search&otracker1=search&fm=Search&iid=7fb46890-de3a-4408-bda5-3a1686f0df20.PSRH8YXSJDZ8V5SP.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,PreSolve i3-8100 3.6 GHz LGA 1151 4 Core Processor Designed for Desktop  (Light Golden),2259.0,6999.0,67.0,3.7,3.0,Home > Gaming > Gaming Accessories > Processor > PreSolve Processor,Processors,Flipkart
,https://www.flipkart.com/intel-core-i5-2400-processor-2nd-generation-3-1-ghz-upto-3-4-lga-1155-socket-4-cores-threads-6-mb-smart-cache-desktop/p/itmd2rysrnmsszpz?pid=PSRFVZMR8WXM4DVF&lid=LSTPSRFVZMR8WXM4DVFAG7HKO&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_5_196&otracker=search&otracker1=search&fm=Search&iid=69c4ca6f-3ff3-490c-801d-9bc5de170508.PSRFVZMR8WXM4DVF.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,Intel CORE I5 2400 PROCESSOR ( 2ND GENERATION ) 3.1 GHz Upto 3.4 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor  (Silver),2267.0,3350.0,32.0,2.9,15.0,Home > Gaming > Gaming Accessories > Processor > Intel Processor,Processors,Flipkart
,https://www.flipkart.com/intel-2400-3-1-ghz-lga-1155-socket-8-cores-desktop-processor/p/itmd8w4ztsg3vhsw?pid=PSREZ77UDSNRHPUF&lid=LSTPSREZ77UDSNRHPUFLBRBJ0&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_7_242&otracker=search&otracker1=search&fm=Search&iid=224f47c0-ad22-43c0-be10-7857cf164b1f.PSREZ77UDSNRHPUF.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,Intel 2400 3.1 GHz LGA 1155 Socket 8 Cores Desktop Processor  (Silver),2281.0,3500.0,34.0,3.6,60.0,Home > Gaming > Gaming Accessories > Processor > Intel Processor,Processors,Flipkart
,https://www.flipkart.com/intel-i5-3470-3-2-ghz-lga-1155-socket-4-cores-desktop-processor/p/itmfhfmdpcpvzrfd?pid=PSRGKWBYRJ2RQHBX&lid=LSTPSRGKWBYRJ2RQHBXKI2DRN&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_8_317&otracker=search&otracker1=search&fm=Search&iid=2e3d3218-f5a8-4482-b2d9-5145d6715d89.PSRGKWBYRJ2RQHBX.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,Intel I5 3470 3.2 GHz LGA 1155 Socket 4 Cores Desktop Processor  (Silver),2329.0,2500.0,6.0,3.2,14.0,Home > Gaming > Gaming Accessories > Processor > Intel Processor,Processors,Flipkart
,https://www.flipkart.com/intel-3rd-generation-core-i3-3220-3-3-ghz-lga-1155-socket-2-cores-desktop-processor/p/itm54302c7201315?pid=PSRFNF3ZSH4YTHGQ&lid=LSTPSRFNF3ZSH4YTHGQB6Y8BJ&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_7_266&otracker=search&otracker1=search&fm=Search&iid=224f47c0-ad22-43c0-be10-7857cf164b1f.PSRFNF3ZSH4YTHGQ.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,Intel 3rd Generation Core i3 3220 3.3 GHz LGA 1155 Socket 2 Cores Desktop Processor  (Silver),2399.0,4699.0,48.0,3.9,180.0,Home > Gaming > Gaming Accessories > Processor > Intel Processor,Processors,Flipkart
,https://www.flipkart.com/yuiop-intel-core-i5-2400-processor-2nd-generation-3-1-ghz-lga-1155-4-designed-desktop/p/itm976d6592fe672?pid=PSRGUYQMZ27J4SUG&lid=LSTPSRGUYQMZ27J4SUGP7F2M4&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_6_228&otracker=search&otracker1=search&fm=Search&iid=78e2f1f1-8d2e-42e8-beaa-d289b419907d.PSRGUYQMZ27J4SUG.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,YUIOP Intel Core i5-2400 Processor (2nd Generation) 3.1 GHz LGA 1155 4 Core Processor Designed for Desktop  (Intel® Core™ i5-2400 Processor | LGA 1155 Socket | S/N : CKW010AZS),2400.0,4600.0,47.0,3.9,0.0,Home > Gaming > Gaming Accessories > Processor > YUIOP Processor,Processors,Flipkart
,https://www.flipkart.com/suryaasys-8100-8300-8350-3-1-ghz-lga-1151-4-core-processor-designed-desktop/p/itm09ef4f3c2726a?pid=PSRHDT7AXBBQBTNH&lid=LSTPSRHDT7AXBBQBTNHLB5GWF&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_10_370&otracker=search&otracker1=search&fm=Search&iid=9adcb1d8-2018-4e36-a123-71222563c048.PSRHDT7AXBBQBTNH.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,suryaasys 8100/8300/8350 3.1 GHz LGA 1151 4 Core Processor Designed for Desktop  (Grey),2500.0,3999.0,37.0,3.8,0.0,Home > Gaming > Gaming Accessories > Processor > suryaasys Processor,Processors,Flipkart
,https://www.flipkart.com/intel-i5-4460-4th-generation-6-mb-smart-cache-3-2-ghz-lga-1150-socket-4-cores-desktop-processor/p/itmd5f4d38ced8c6?pid=PSRGSF25SKU54ZTQ&lid=LSTPSRGSF25SKU54ZTQBZ4JVC&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_5_184&otracker=search&otracker1=search&fm=Search&iid=69c4ca6f-3ff3-490c-801d-9bc5de170508.PSRGSF25SKU54ZTQ.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,"Intel i5-4460 ( 4Th Generation ) 6 MB Smart Cache, 3.2 GHz LGA 1150 Socket 4 Cores Desktop Processor  (Silver)",2500.0,4999.0,49.0,4.0,0.0,Home > Gaming > Gaming Accessories > Processor > Intel Processor,Processors,Flipkart
,https://www.flipkart.com/intel-core-i5-3570-3-4-ghz-upto-3-8-lga-1155-socket-4-cores-threads-6-mb-smart-cache-desktop-processor/p/itmdcvv2bbstzq8g?pid=PSRFCCYMNMFQTXEG&lid=LSTPSRFCCYMNMFQTXEGLEEHOR&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_4_130&otracker=search&otracker1=search&fm=Search&iid=7fb46890-de3a-4408-bda5-3a1686f0df20.PSRFCCYMNMFQTXEG.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,Intel Core i5-3570 3.4 GHz Upto 3.8 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor  (Silver/Grey),2500.0,4000.0,37.0,4.1,427.0,Home > Gaming > Gaming Accessories > Processor > Intel Processor,Processors,Flipkart
,https://www.flipkart.com/intel-core-i5-2500k-3-3-ghz-lga-1155-socket-4-cores-desktop-processor/p/itm0924711fcf9f4?pid=PSRFXQ2RFV2XMDZT&lid=LSTPSRFXQ2RFV2XMDZTWPWWCK&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_9_330&otracker=search&otracker1=search&fm=Search&iid=5b555b1f-31af-4ba0-8b69-a63f504c027d.PSRFXQ2RFV2XMDZT.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,"Intel core I5 2500k 3.3 GHz LGA 1155 Socket 4 Cores Desktop Processor  (Green, Silver)",2582.0,3200.0,19.0,3.4,6.0,Home > Gaming > Gaming Accessories > Processor > Intel Processor,Processors,Flipkart
,https://www.flipkart.com/intel-i5-4590t-4th-gen-6mb-cache-2-ghz-lga-1150-socket-4-cores-desktop-processor/p/itmfcff70a2aa09e?pid=PSRGPZK77FKESEHG&lid=LSTPSRGPZK77FKESEHGVLXJOV&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_5_173&otracker=search&otracker1=search&fm=Search&iid=69c4ca6f-3ff3-490c-801d-9bc5de170508.PSRGPZK77FKESEHG.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,"Intel i5-4590T (4TH Gen) 6MB Cache, 2 GHz LGA 1150 Socket 4 Cores Desktop Processor  (Silver)",2750.0,4399.0,37.0,4.1,0.0,Home > Gaming > Gaming Accessories > Processor > Intel Processor,Processors,Flipkart
,https://www.flipkart.com/yuiop-intel-core-i5-2400-processor-2nd-generation-6mb-cache-3-10-ghz-frequency-3-1-lga-1155-4-designed-desktop/p/itm27a31c18d5d35?pid=PSRGUYQHGTHGBQ2V&lid=LSTPSRGUYQHGTHGBQ2VUVWYKR&marketplace=FLIPKART&q=Processor&store=6bo%2Fg0i%2F17w&srno=s_7_270&otracker=search&otracker1=search&fm=Search&iid=224f47c0-ad22-43c0-be10-7857cf164b1f.PSRGUYQHGTHGBQ2V.SEARCH&ppt=sp&ppn=sp&ssid=1u637odl400000001752147891924&qH=e22b6495595f2c4a,"YUIOP Intel Core i5-2400 Processor (2nd Generation) [6MB Cache, 3.10 GHz Frequency] 3.1 GHz LGA 1155 4 Core Processor Designed for Desktop  (Intel® Core™ i5-2400 Processor | Frequency Upto 3.40 GHz | S/N : CKW010LHS)",2800.0,4500.0,37.0,3.9,0.0,Home > Gaming > Gaming Accessories > Processor > YUIOP Processor,Processors,Flipkart
